unix date,volume,fees
"1633219200","91331240.2351216","273993.7207053648"
"1633132800","92158898.01379047","276476.6940413714"
"1633046400","107142462.0434952","321427.38613048557"
"1632960000","91649013.31212592","274947.0399363777"
"1632873600","63017051.81044444","189051.15543133332"
"1632787200","106769359.46342713","320308.07839028136"
"1632700800","106698131.59474029","320094.39478422084"
"1632614400","126359933.2641622","379079.7997924866"
"1632528000","104443766.30776186","313331.2989232856"
"1632441600","182015008.15304273","546045.0244591282"
"1632355200","92037044.76418135","276111.13429254404"
"1632268800","110265775.55369231","330797.3266610769"
"1632182400","269836020.23263574","809508.0606979072"
"1632096000","279514852.7079164","838544.5581237492"
"1632009600","56504202.96237817","169512.6088871345"
"1631923200","51390143.6685224","154170.43100556722"
"1631836800","91930124.38672239","275790.37316016713"
"1631750400","119915972.29195803","359747.9168758741"
"1631664000","51224326.647810094","153672.97994343028"
"1631577600","82248842.63128898","246746.52789386694"
"1631491200","168285884.57632962","504857.6537289889"
"1631404800","77230923.0127433","231692.7690382299"
"1631318400","87316283.75533904","261948.85126601713"
"1631232000","170323623.87804505","510970.87163413514"
"1631145600","119352395.83878735","358057.18751636206"
"1631059200","209862678.9213009","629588.0367639026"
"1630972800","432821953.0249596","1298465.8590748787"
"1630886400","54271112.97656648","162813.33892969944"
"1630800000","61787607.924059145","185362.82377217745"
"1630713600","82868399.6382696","248605.1989148088"
"1630627200","152297940.49724194","456893.8214917258"
"1630540800","142711253.47640646","428133.76042921934"
"1630454400","152051883.77161583","456155.6513148475"
"1630368000","220631131.19518104","661893.3935855431"
"1630281600","134337555.63331488","403012.66689994466"
"1630195200","90391832.15677506","271175.49647032516"
"1630108800","40883773.67188959","122651.32101566876"
"1630022400","97705092.52386563","293115.27757159685"
"1629936000","122041477.14708772","366124.4314412632"
"1629849600","119898040.29284301","359694.12087852904"
"1629763200","114285274.17765945","342855.8225329783"
"1629676800","90020000.57798019","270060.00173394056"
"1629590400","86067907.86303172","258203.72358909517"
"1629504000","77555551.79220904","232666.6553766271"
"1629417600","105615553.96550292","316846.66189650877"
"1629331200","137922564.04464573","413767.6921339372"
